Vectorizer,Model,Class,Precision,Recall,F1-Score,Support
TF-IDF,Random Forest,0,0.8181818181818182,1.0,0.9,9.0
TF-IDF,Random Forest,1,1.0,0.8947368421052632,0.9444444444444444,19.0
TF-IDF,Random Forest,2,1.0,1.0,1.0,15.0
TF-IDF,Random Forest,3,1.0,1.0,1.0,19.0
TF-IDF,Random Forest,macro avg,0.9545454545454546,0.9736842105263158,0.9611111111111111,62.0
TF-IDF,Random Forest,weighted avg,0.9736070381231671,0.967741935483871,0.9684587813620071,62.0
TF-IDF,Gradient Boosting,0,0.75,1.0,0.8571428571428571,9.0
TF-IDF,Gradient Boosting,1,1.0,0.7894736842105263,0.8823529411764706,19.0
TF-IDF,Gradient Boosting,2,0.8571428571428571,0.8,0.8275862068965517,15.0
TF-IDF,Gradient Boosting,3,0.9047619047619048,1.0,0.95,19.0
TF-IDF,Gradient Boosting,macro avg,0.8779761904761905,0.8973684210526316,0.8792705013039699,62.0
TF-IDF,Gradient Boosting,weighted avg,0.8999615975422427,0.8870967741935484,0.8861739467755957,62.0
TF-IDF,XGBoost,0,1.0,1.0,1.0,9.0
TF-IDF,XGBoost,1,1.0,0.8947368421052632,0.9444444444444444,19.0
TF-IDF,XGBoost,2,0.8823529411764706,1.0,0.9375,15.0
TF-IDF,XGBoost,3,1.0,1.0,1.0,19.0
TF-IDF,XGBoost,macro avg,0.9705882352941176,0.9736842105263158,0.9704861111111112,62.0
TF-IDF,XGBoost,weighted avg,0.9715370018975332,0.967741935483871,0.9678539426523297,62.0
TF-IDF,LightGBM,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
TF-IDF,LightGBM,1,1.0,0.9473684210526315,0.972972972972973,19.0
TF-IDF,LightGBM,2,0.8235294117647058,0.9333333333333333,0.875,15.0
TF-IDF,LightGBM,3,1.0,0.9473684210526315,0.972972972972973,19.0
TF-IDF,LightGBM,macro avg,0.9281045751633987,0.9292397660818713,0.9274587087087087,62.0
TF-IDF,LightGBM,weighted avg,0.9411764705882353,0.9354838709677419,0.9370640802092415,62.0
TF-IDF,CatBoost,0,0.47368421052631576,1.0,0.6428571428571429,9.0
TF-IDF,CatBoost,1,0.9285714285714286,0.6842105263157895,0.7878787878787878,19.0
TF-IDF,CatBoost,2,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
TF-IDF,CatBoost,3,1.0,0.8947368421052632,0.9444444444444444,19.0
TF-IDF,CatBoost,macro avg,0.8297305764411027,0.8280701754385965,0.7974987974987975,62.0
TF-IDF,CatBoost,weighted avg,0.8815486296386127,0.8064516129032258,0.8213238374528696,62.0
Hashing,Logistic Regression,0,0.8181818181818182,1.0,0.9,9.0
Hashing,Logistic Regression,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Hashing,Logistic Regression,2,1.0,0.9333333333333333,0.9655172413793104,15.0
Hashing,Logistic Regression,3,0.95,1.0,0.9743589743589743,19.0
Hashing,Logistic Regression,macro avg,0.9420454545454546,0.9570175438596491,0.9460801650456824,62.0
Hashing,Logistic Regression,weighted avg,0.9582844574780057,0.9516129032258065,0.9522584448057195,62.0
Hashing,SVM,0,0.6923076923076923,1.0,0.8181818181818182,9.0
Hashing,SVM,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Hashing,SVM,2,1.0,0.9333333333333333,0.9655172413793104,15.0
Hashing,SVM,3,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
